Nota;Emissao;Dt.Cont.;CGC/CPF;Razao;eracao;Repr;Valor da Nota;Desconto;Desc.Troca;Ser;UF;Observacoes;Pedido
666;20/12/2024;06/01/2025;43648350000171;HIPER FESTA;196.52;0;134,95;0;0;1;MS;;0
64;26/12/2024;06/01/2025;31292412000176;FRANCIELLE TOMA;196.52;0;180;0;0;1;MS;;0
2784;21/12/2024;06/01/2025;11253018000111;ELMA QUEIROZ;196.52;0;625,3;0;0;1;MS;;0
52697;27/12/2024;06/01/2025;8999064000230;CONTRAFO COMERC;196.18;0;4.200,00;113,01;0;1;MS;;0
3082;27/12/2024;06/01/2025;48759327000178;MFC ME;196.18;0;711;0;0;1;MS;;0
153;01/01/2025;06/01/2025;41771264000126;LOURIVAL RAIMUN;199.51;0;2.162,00;0;0;1;MS;;0
55;01/01/2025;06/01/2025;47833492000160;KARMA DECOR;199.51;0;1.196,00;0;0;1;MS;;0
55;30/12/2024;06/01/2025;52623749000199;SHALOM TRANSPOR;199.51;0;2.769,00;0;0;1;MS;;0
121;29/12/2024;06/01/2025;48364005000120;LIBERTY;199.51;0;4.050,00;0;0;1;MS;;0
147;02/01/2025;06/01/2025;16944369000192;JOTACEVE COMERC;199.51;0;5.063,00;0;0;1;MS;;0
181;30/12/2024;06/01/2025;13488426000188;ALEX LEMES FARI;199.51;0;3.099,00;0;0;1;MS;;0
122;30/12/2024;06/01/2025;18057710000113;ADNAN TRANSPORT;199.51;0;2.202,00;0;0;1;MS;;0
184;02/01/2025;06/01/2025;40732721000100;CHEST TRANSPORT;199.51;0;5.795,00;0;0;1;MS;;0
204;01/01/2025;06/01/2025;36953371000135;J GONCALVES DA;199.51;0;1.167,00;0;0;1;MS;;0
272;01/01/2025;06/01/2025;33891265000186;JOSE LUIZ BENIT;199.51;0;240;0;0;1;MS;;0
353;01/01/2025;06/01/2025;31640223000147;ARTUR PINHEIRO;199.51;0;564;0;0;1;MS;;0
254;01/01/2025;06/01/2025;33693691000105;A DE SOUZA ME;199.51;0;2.651,00;0;0;1;MS;;0
270;01/01/2025;06/01/2025;33918000000124;E DA SILVA LEIT;199.51;0;3.181,00;0;0;1;MS;;0
271;01/01/2025;06/01/2025;13715844000160;EDUARDO MONCAO;199.51;0;2.213,00;0;0;1;MS;;0
